Epoch 5: MRR Left = 0.784, MRR Right = 0.768, Average MRR = 0.776
Epoch 10: MRR Left = 0.783, MRR Right = 0.767, Average MRR = 0.775
Epoch 15: MRR Left = 0.791, MRR Right = 0.772, Average MRR = 0.782
Epoch 20: MRR Left = 0.792, MRR Right = 0.775, Average MRR = 0.784
Epoch 25: MRR Left = 0.792, MRR Right = 0.777, Average MRR = 0.784
Epoch 30: MRR Left = 0.796, MRR Right = 0.778, Average MRR = 0.787
Epoch 35: MRR Left = 0.798, MRR Right = 0.779, Average MRR = 0.788
Epoch 40: MRR Left = 0.800, MRR Right = 0.780, Average MRR = 0.790
Epoch 45: MRR Left = 0.800, MRR Right = 0.782, Average MRR = 0.791
Epoch 50: MRR Left = 0.802, MRR Right = 0.785, Average MRR = 0.794
Epoch 55: MRR Left = 0.804, MRR Right = 0.784, Average MRR = 0.794
Epoch 60: MRR Left = 0.805, MRR Right = 0.783, Average MRR = 0.794
Epoch 65: MRR Left = 0.805, MRR Right = 0.785, Average MRR = 0.795
Epoch 70: MRR Left = 0.806, MRR Right = 0.785, Average MRR = 0.796
Epoch 75: MRR Left = 0.807, MRR Right = 0.785, Average MRR = 0.796
Epoch 80: MRR Left = 0.806, MRR Right = 0.785, Average MRR = 0.796
Epoch 85: MRR Left = 0.808, MRR Right = 0.788, Average MRR = 0.798
Epoch 90: MRR Left = 0.809, MRR Right = 0.786, Average MRR = 0.798
Epoch 95: MRR Left = 0.809, MRR Right = 0.786, Average MRR = 0.798
Epoch 100: MRR Left = 0.806, MRR Right = 0.786, Average MRR = 0.796
Epoch 105: MRR Left = 0.812, MRR Right = 0.786, Average MRR = 0.799
Epoch 110: MRR Left = 0.809, MRR Right = 0.787, Average MRR = 0.798
Epoch 115: MRR Left = 0.809, MRR Right = 0.788, Average MRR = 0.798
Epoch 120: MRR Left = 0.808, MRR Right = 0.787, Average MRR = 0.798
Epoch 125: MRR Left = 0.810, MRR Right = 0.789, Average MRR = 0.800
Epoch 130: MRR Left = 0.811, MRR Right = 0.788, Average MRR = 0.800
Epoch 135: MRR Left = 0.810, MRR Right = 0.787, Average MRR = 0.798
Epoch 140: MRR Left = 0.809, MRR Right = 0.789, Average MRR = 0.799
Epoch 145: MRR Left = 0.812, MRR Right = 0.789, Average MRR = 0.800
Epoch 150: MRR Left = 0.811, MRR Right = 0.788, Average MRR = 0.800
Epoch 155: MRR Left = 0.810, MRR Right = 0.787, Average MRR = 0.798
Epoch 160: MRR Left = 0.809, MRR Right = 0.790, Average MRR = 0.800
Epoch 165: MRR Left = 0.813, MRR Right = 0.792, Average MRR = 0.802
Epoch 170: MRR Left = 0.812, MRR Right = 0.789, Average MRR = 0.800
Epoch 175: MRR Left = 0.812, MRR Right = 0.790, Average MRR = 0.801
Epoch 180: MRR Left = 0.813, MRR Right = 0.788, Average MRR = 0.800
Epoch 185: MRR Left = 0.813, MRR Right = 0.791, Average MRR = 0.802
Epoch 190: MRR Left = 0.812, MRR Right = 0.791, Average MRR = 0.802
Epoch 195: MRR Left = 0.814, MRR Right = 0.791, Average MRR = 0.802
Epoch 200: MRR Left = 0.813, MRR Right = 0.788, Average MRR = 0.800
Epoch 205: MRR Left = 0.814, MRR Right = 0.791, Average MRR = 0.802
Epoch 210: MRR Left = 0.814, MRR Right = 0.790, Average MRR = 0.802
Epoch 215: MRR Left = 0.813, MRR Right = 0.791, Average MRR = 0.802
Epoch 220: MRR Left = 0.813, MRR Right = 0.791, Average MRR = 0.802
Epoch 225: MRR Left = 0.814, MRR Right = 0.792, Average MRR = 0.803
Epoch 230: MRR Left = 0.816, MRR Right = 0.790, Average MRR = 0.803
Epoch 235: MRR Left = 0.812, MRR Right = 0.792, Average MRR = 0.802
Epoch 240: MRR Left = 0.812, MRR Right = 0.791, Average MRR = 0.802
Epoch 245: MRR Left = 0.815, MRR Right = 0.793, Average MRR = 0.804
Epoch 250: MRR Left = 0.816, MRR Right = 0.791, Average MRR = 0.803
Epoch 255: MRR Left = 0.812, MRR Right = 0.792, Average MRR = 0.802
Epoch 260: MRR Left = 0.814, MRR Right = 0.792, Average MRR = 0.803
Epoch 265: MRR Left = 0.815, MRR Right = 0.794, Average MRR = 0.804
Epoch 270: MRR Left = 0.815, MRR Right = 0.790, Average MRR = 0.802
Epoch 275: MRR Left = 0.813, MRR Right = 0.790, Average MRR = 0.801
Epoch 280: MRR Left = 0.811, MRR Right = 0.790, Average MRR = 0.800
Epoch 285: MRR Left = 0.815, MRR Right = 0.794, Average MRR = 0.804
Epoch 290: MRR Left = 0.814, MRR Right = 0.792, Average MRR = 0.803
Epoch 295: MRR Left = 0.811, MRR Right = 0.792, Average MRR = 0.802
Epoch 300: MRR Left = 0.813, MRR Right = 0.792, Average MRR = 0.802
Epoch 305: MRR Left = 0.817, MRR Right = 0.793, Average MRR = 0.805
Epoch 310: MRR Left = 0.814, MRR Right = 0.792, Average MRR = 0.803
Epoch 315: MRR Left = 0.813, MRR Right = 0.793, Average MRR = 0.803
Epoch 320: MRR Left = 0.813, MRR Right = 0.791, Average MRR = 0.802
Epoch 325: MRR Left = 0.817, MRR Right = 0.794, Average MRR = 0.805
Epoch 330: MRR Left = 0.815, MRR Right = 0.793, Average MRR = 0.804
Epoch 335: MRR Left = 0.814, MRR Right = 0.794, Average MRR = 0.804
Epoch 340: MRR Left = 0.811, MRR Right = 0.792, Average MRR = 0.802
